text,cmp_code,eu_code,pos,party,date,language,source,has_eu_code,is_primary_doc,may_contradict_core_dataset,md5sum_text,url_original,md5sum_original,annotations,handbook,is_copy_of,title,translation_en,id
Which party will make a real difference to my child's education?,NA,NA,1,51421,199705,english,MARPOR,FALSE,TRUE,FALSE,bf901e9dbd22b35fd9689eb0f7e1ea31,NA,NA,TRUE,1,NA,Make the Difference,FALSE,51421_199705
Our aim: To make Britain the world's foremost learning society by 2010.,411,NA,2,51421,199705,english,MARPOR,FALSE,TRUE,FALSE,bf901e9dbd22b35fd9689eb0f7e1ea31,NA,NA,TRUE,1,NA,Make the Difference,FALSE,51421_199705
The problem: This country's education has been underfunded and undermined by repeated shifts in policy.,506,NA,3,51421,199705,english,MARPOR,FALSE,TRUE,FALSE,bf901e9dbd22b35fd9689eb0f7e1ea31,NA,NA,TRUE,1,NA,Make the Difference,FALSE,51421_199705
"Standards are too low, especially in core skills such as reading and maths.",506,NA,4,51421,199705,english,MARPOR,FALSE,TRUE,FALSE,bf901e9dbd22b35fd9689eb0f7e1ea31,NA,NA,TRUE,1,NA,Make the Difference,FALSE,51421_199705
Britain is too low in the world league tables.,506,NA,5,51421,199705,english,MARPOR,FALSE,TRUE,FALSE,bf901e9dbd22b35fd9689eb0f7e1ea31,NA,NA,TRUE,1,NA,Make the Difference,FALSE,51421_199705
Our commitment: Liberal Democrats will make education the next government's top priority.,506,NA,6,51421,199705,english,MARPOR,FALSE,TRUE,FALSE,bf901e9dbd22b35fd9689eb0f7e1ea31,NA,NA,TRUE,1,NA,Make the Difference,FALSE,51421_199705
"We will invest an additional £2 billion per year in education, funded by an extra 1p in the pound on the basic rate of income tax.",506,NA,7,51421,199705,english,MARPOR,FALSE,TRUE,FALSE,bf901e9dbd22b35fd9689eb0f7e1ea31,NA,NA,TRUE,1,NA,Make the Difference,FALSE,51421_199705
Our first priority is to:,NA,NA,8,51421,199705,english,MARPOR,FALSE,TRUE,FALSE,bf901e9dbd22b35fd9689eb0f7e1ea31,NA,NA,TRUE,1,NA,Make the Difference,FALSE,51421_199705
- Give children the best start by providing high quality early years education for every 3 and 4 year-old child whose parents want it.,706,NA,9,51421,199705,english,MARPOR,FALSE,TRUE,FALSE,bf901e9dbd22b35fd9689eb0f7e1ea31,NA,NA,TRUE,1,NA,Make the Difference,FALSE,51421_199705
Key priorities are to:,NA,NA,10,51421,199705,english,MARPOR,FALSE,TRUE,FALSE,bf901e9dbd22b35fd9689eb0f7e1ea31,NA,NA,TRUE,1,NA,Make the Difference,FALSE,51421_199705
