group,word_counts,sentence_counts,char_counts,ocr_error_rates,avg_word_lengths,punctuation_freqs,recommendation
2019-12-liberal_democrats,"from_csv:26638, PyMuPDF:27908, Tesseract:27840","from_csv:1076, PyMuPDF:1113, Tesseract:1113","from_csv:169483, PyMuPDF:178056, Tesseract:175298","from_csv:1.0000, PyMuPDF:1.0000, Tesseract:1.0000","from_csv:5.3622, PyMuPDF:5.2579, Tesseract:5.2710","from_csv:0.0138, PyMuPDF:0.0136, Tesseract:0.0138",PyMuPDF
1997-05-conservative_party,"from_csv:21242, PyMuPDF:21454, Tesseract:21357","from_csv:1222, PyMuPDF:1215, Tesseract:1216","from_csv:129149, PyMuPDF:129264, Tesseract:129824","from_csv:0.9933, PyMuPDF:0.9999, Tesseract:0.9999","from_csv:5.0506, PyMuPDF:5.0247, Tesseract:5.0517","from_csv:0.0142, PyMuPDF:0.0143, Tesseract:0.0143",PyMuPDF
1987-06-conservative_party,"from_csv:17971, PyMuPDF:0, Tesseract:18973","from_csv:919, PyMuPDF:0, Tesseract:1131","from_csv:110900, PyMuPDF:0, Tesseract:172358","from_csv:0.9898, PyMuPDF:0.0000, Tesseract:0.9994","from_csv:5.1379, PyMuPDF:0.0000, Tesseract:4.8125","from_csv:0.0145, PyMuPDF:0.0000, Tesseract:0.0129",Tesseract
1992-04-conservative_party,"from_csv:30359, PyMuPDF:0, Tesseract:32628","from_csv:1604, PyMuPDF:0, Tesseract:2009","from_csv:185403, PyMuPDF:0, Tesseract:262504","from_csv:0.9814, PyMuPDF:0.0000, Tesseract:0.9952","from_csv:5.0760, PyMuPDF:0.0000, Tesseract:4.7548","from_csv:0.0143, PyMuPDF:0.0000, Tesseract:0.0128",Tesseract
2005-05-labour_party,"from_csv:24190, PyMuPDF:24295, Tesseract:25497","from_csv:1106, PyMuPDF:1536, Tesseract:1242","from_csv:147502, PyMuPDF:149651, Tesseract:201089","from_csv:0.9954, PyMuPDF:1.0000, Tesseract:0.9998","from_csv:5.0687, PyMuPDF:5.1546, Tesseract:4.9300","from_csv:0.0144, PyMuPDF:0.0172, Tesseract:0.0114",Tesseract
2015-05-labour_party,"from_csv:18150, PyMuPDF:20452, Tesseract:19231","from_csv:893, PyMuPDF:899, Tesseract:926","from_csv:110375, PyMuPDF:118313, Tesseract:118454","from_csv:0.9999, PyMuPDF:1.0000, Tesseract:0.9982","from_csv:5.0791, PyMuPDF:4.6455, Tesseract:4.9778","from_csv:0.0152, PyMuPDF:0.0144, Tesseract:0.0151",PyMuPDF
1964-10-conservative_party,"from_csv:8071, PyMuPDF:8256, Tesseract:8215","from_csv:446, PyMuPDF:427, Tesseract:427","from_csv:50439, PyMuPDF:51309, Tesseract:51517","from_csv:0.9995, PyMuPDF:1.0000, Tesseract:1.0000","from_csv:5.2238, PyMuPDF:5.2134, Tesseract:5.2428","from_csv:0.0140, PyMuPDF:0.0138, Tesseract:0.0137",PyMuPDF
2001-06-labour_party,"from_csv:29820, PyMuPDF:30953, Tesseract:34392","from_csv:1670, PyMuPDF:1551, Tesseract:1837","from_csv:182368, PyMuPDF:189736, Tesseract:357334","from_csv:0.9975, PyMuPDF:1.0000, Tesseract:0.9962","from_csv:5.1156, PyMuPDF:5.1120, Tesseract:4.6866","from_csv:0.0169, PyMuPDF:0.0158, Tesseract:0.0103",Tesseract
2015-05-conservative_party,"from_csv:30276, PyMuPDF:31586, Tesseract:33593","from_csv:5764, PyMuPDF:5808, Tesseract:1340","from_csv:185412, PyMuPDF:199957, Tesseract:243473","from_csv:1.0000, PyMuPDF:1.0000, Tesseract:0.9983","from_csv:5.1237, PyMuPDF:5.1179, Tesseract:4.6979","from_csv:0.0392, PyMuPDF:0.0367, Tesseract:0.0123",Tesseract
2001-06-liberal_democrats,"from_csv:21494, PyMuPDF:0, Tesseract:16340","from_csv:1128, PyMuPDF:0, Tesseract:841","from_csv:137454, PyMuPDF:0, Tesseract:102183","from_csv:0.9855, PyMuPDF:0.0000, Tesseract:0.9998","from_csv:5.3516, PyMuPDF:0.0000, Tesseract:5.1846","from_csv:0.0139, PyMuPDF:0.0000, Tesseract:0.0158",from_csv
1997-05-labour_party,"from_csv:17679, PyMuPDF:17585, Tesseract:17560","from_csv:919, PyMuPDF:973, Tesseract:973","from_csv:109840, PyMuPDF:109183, Tesseract:109605","from_csv:0.9968, PyMuPDF:1.0000, Tesseract:1.0000","from_csv:5.1829, PyMuPDF:5.2055, Tesseract:5.2155","from_csv:0.0146, PyMuPDF:0.0154, Tesseract:0.0153",from_csv
1974-02-conservative_party,"from_csv:13797, PyMuPDF:14009, Tesseract:13985","from_csv:571, PyMuPDF:589, Tesseract:589","from_csv:83142, PyMuPDF:84000, Tesseract:84469","from_csv:0.9965, PyMuPDF:1.0000, Tesseract:1.0000","from_csv:4.9946, PyMuPDF:4.9954, Tesseract:5.0091","from_csv:0.0146, PyMuPDF:0.0149, Tesseract:0.0148",PyMuPDF
2015-05-liberal_democrats,"from_csv:33390, PyMuPDF:35575, Tesseract:35648","from_csv:1416, PyMuPDF:1405, Tesseract:1523","from_csv:212116, PyMuPDF:223898, Tesseract:243116","from_csv:1.0000, PyMuPDF:0.9980, Tesseract:0.9973","from_csv:5.3485, PyMuPDF:5.1568, Tesseract:5.1423","from_csv:0.0140, PyMuPDF:0.0136, Tesseract:0.0132",Tesseract
1983-06-conservative_party,"from_csv:12068, PyMuPDF:0, Tesseract:17106","from_csv:624, PyMuPDF:0, Tesseract:1364","from_csv:74197, PyMuPDF:0, Tesseract:142105","from_csv:0.9935, PyMuPDF:0.0000, Tesseract:0.9983","from_csv:5.1211, PyMuPDF:0.0000, Tesseract:4.7335","from_csv:0.0152, PyMuPDF:0.0000, Tesseract:0.0132",Tesseract
1974-10-conservative_party,"from_csv:14319, PyMuPDF:14531, Tesseract:14497","from_csv:665, PyMuPDF:671, Tesseract:671","from_csv:87514, PyMuPDF:88483, Tesseract:88718","from_csv:0.9971, PyMuPDF:1.0000, Tesseract:0.9999","from_csv:5.0842, PyMuPDF:5.0885, Tesseract:5.1019","from_csv:0.0135, PyMuPDF:0.0136, Tesseract:0.0136",PyMuPDF
2017-06-conservative_party,"from_csv:29016, PyMuPDF:30675, Tesseract:30603","from_csv:1204, PyMuPDF:2293, Tesseract:1288","from_csv:177349, PyMuPDF:189579, Tesseract:186905","from_csv:1.0000, PyMuPDF:1.0000, Tesseract:1.0000","from_csv:5.1121, PyMuPDF:5.1155, Tesseract:5.0981","from_csv:0.0143, PyMuPDF:0.0194, Tesseract:0.0144",PyMuPDF
