group,word_counts,sentence_counts,char_counts,ocr_error_rates,avg_word_lengths,punctuation_freqs,recommendation
2019-12-liberal_democrats,"from_csv:26680, PyMuPDF:27399, Tesseract:27816","from_csv:1067, PyMuPDF:1104, Tesseract:1104","from_csv:169405, PyMuPDF:173331, Tesseract:174235","from_csv:0.9967, PyMuPDF:0.9966, Tesseract:0.9967","from_csv:5.3496, PyMuPDF:5.3262, Tesseract:5.2639","from_csv:0.0138, PyMuPDF:0.0139, Tesseract:0.0138",Tesseract
1997-05-conservative_party,"from_csv:21267, PyMuPDF:21138, Tesseract:21296","from_csv:1222, PyMuPDF:1209, Tesseract:1210","from_csv:128534, PyMuPDF:127846, Tesseract:128808","from_csv:0.9933, PyMuPDF:0.9935, Tesseract:0.9938","from_csv:5.0439, PyMuPDF:5.0482, Tesseract:5.0485","from_csv:0.0143, PyMuPDF:0.0144, Tesseract:0.0143",Tesseract
1987-06-conservative_party,"from_csv:17989, PyMuPDF:0, Tesseract:17364","from_csv:919, PyMuPDF:0, Tesseract:1074","from_csv:110310, PyMuPDF:0, Tesseract:108575","from_csv:0.9898, PyMuPDF:0.0000, Tesseract:0.9964","from_csv:5.1321, PyMuPDF:0.0000, Tesseract:5.2529","from_csv:0.0145, PyMuPDF:0.0000, Tesseract:0.0199",from_csv
1992-04-conservative_party,"from_csv:30405, PyMuPDF:0, Tesseract:29759","from_csv:1604, PyMuPDF:0, Tesseract:1989","from_csv:184470, PyMuPDF:0, Tesseract:184649","from_csv:0.9814, PyMuPDF:0.0000, Tesseract:0.9950","from_csv:5.0671, PyMuPDF:0.0000, Tesseract:5.2048","from_csv:0.0143, PyMuPDF:0.0000, Tesseract:0.0180",from_csv
2005-05-labour_party,"from_csv:24202, PyMuPDF:23910, Tesseract:24275","from_csv:1123, PyMuPDF:1124, Tesseract:1198","from_csv:146776, PyMuPDF:145162, Tesseract:149589","from_csv:0.9954, PyMuPDF:0.9953, Tesseract:0.9956","from_csv:5.0647, PyMuPDF:5.0712, Tesseract:5.1623","from_csv:0.0146, PyMuPDF:0.0146, Tesseract:0.0151",Tesseract
2015-05-labour_party,"from_csv:18148, PyMuPDF:18666, Tesseract:18955","from_csv:893, PyMuPDF:899, Tesseract:925","from_csv:110161, PyMuPDF:112142, Tesseract:114583","from_csv:0.9989, PyMuPDF:0.9989, Tesseract:0.9981","from_csv:5.0702, PyMuPDF:5.0079, Tesseract:5.0451","from_csv:0.0152, PyMuPDF:0.0152, Tesseract:0.0156",Tesseract
1964-10-conservative_party,"from_csv:8094, PyMuPDF:8133, Tesseract:8161","from_csv:446, PyMuPDF:409, Tesseract:421","from_csv:50233, PyMuPDF:50522, Tesseract:50867","from_csv:0.9995, PyMuPDF:0.9988, Tesseract:0.9988","from_csv:5.2063, PyMuPDF:5.2121, Tesseract:5.2331","from_csv:0.0141, PyMuPDF:0.0134, Tesseract:0.0136",Tesseract
2001-06-labour_party,"from_csv:29813, PyMuPDF:30608, Tesseract:29588","from_csv:1667, PyMuPDF:1596, Tesseract:1816","from_csv:182066, PyMuPDF:187457, Tesseract:190380","from_csv:0.9930, PyMuPDF:0.9959, Tesseract:0.9941","from_csv:5.1070, PyMuPDF:5.1245, Tesseract:5.4344","from_csv:0.0168, PyMuPDF:0.0162, Tesseract:0.0193",PyMuPDF
2015-05-conservative_party,"from_csv:30166, PyMuPDF:30204, Tesseract:30938","from_csv:1159, PyMuPDF:1159, Tesseract:1336","from_csv:179927, PyMuPDF:179934, Tesseract:186835","from_csv:0.9951, PyMuPDF:0.9948, Tesseract:0.9950","from_csv:4.9646, PyMuPDF:4.9573, Tesseract:5.0390","from_csv:0.0146, PyMuPDF:0.0146, Tesseract:0.0160",Tesseract
2001-06-liberal_democrats,"from_csv:21497, PyMuPDF:0, Tesseract:16318","from_csv:1128, PyMuPDF:0, Tesseract:841","from_csv:136479, PyMuPDF:0, Tesseract:100894","from_csv:0.9849, PyMuPDF:0.0000, Tesseract:0.9928","from_csv:5.3488, PyMuPDF:0.0000, Tesseract:5.1830","from_csv:0.0140, PyMuPDF:0.0000, Tesseract:0.0159",from_csv
